H;E;Q;speed_mm_min
35.0;E3;0.5;3.6
35.0;E3;0.6;3.8025185573201434
35.0;E4;0.35;5.781693116294413
35.0;E4;0.5;5.781693116294413
35.0;E4;0.6;5.781693116294413
36.0;E1;0.35;3.4856894153913984
36.0;E1;0.5;3.704272199419786
36.0;E1;0.6;3.8392375539664383
36.0;E2;0.35;3.936305732484077
36.0;E2;0.5;4.426934097421204
36.0;E2;0.6;4.7368421052631575
36.0;E3;0.35;3.782464703412384
36.0;E3;0.5;4.040120782247602
36.0;E3;0.6;4.453322037877951
37.0;E1;0.35;3.482076615533409
37.0;E1;0.5;3.6652124048120935
37.0;E1;0.6;3.808111782473516
37.0;E2;0.35;3.7441426572452614
37.0;E2;0.5;4.105263157894737
37.0;E2;0.6;4.811374362979613
37.0;E3;0.35;3.390181682199297
37.0;E3;0.5;3.468668446765309
37.0;E3;0.6;3.540392871469647
37.0;E4;0.35;6.456953642384106
37.0;E4;0.5;6.456953642384106
37.0;E4;0.6;6.456953642384106
37.98;E2;0.35;3.675889328063241
37.98;E2;0.5;3.675889328063241
37.98;E2;0.6;3.675889328063241
37.98;E3;0.35;4.471153846153846
37.98;E3;0.5;4.471153846153846
37.98;E3;0.6;4.471153846153846
38.0;E1;0.35;3.4984054465575225
38.0;E1;0.5;3.6553920776071136
38.0;E1;0.6;3.689122071909302
38.0;E2;0.35;3.875143421793104
38.0;E2;0.5;4.274678111587983
38.0;E2;0.6;4.553571428571429
38.0;E3;0.35;3.4201556013560035
38.0;E3;0.5;3.4442412041824544
38.0;E3;0.6;3.468668446765309
38.0;E4;0.35;4.034954098897351
38.0;E4;0.5;4.193428667671773
38.0;E4;0.6;4.299078380188055
39.0;E1;0.35;3.1718239554966807
39.0;E1;0.5;3.266497399112709
39.0;E1;0.6;3.319852166067363
39.0;E2;0.35;3.8278229908443535
39.0;E2;0.5;3.951659884033516
39.0;E2;0.6;4.870998147478143
39.0;E3;0.35;3.437384771960597
39.0;E3;0.5;3.582146462556889
39.0;E3;0.6;3.732344048653345
40.0;E1;0.35;3.470452083762449
40.0;E1;0.5;3.709612284124317
40.0;E1;0.6;3.836866317086928
40.0;E2;0.35;4.167594484960638
40.0;E2;0.5;4.600477749127257
40.0;E2;0.6;4.903846153846154
40.0;E3;0.35;3.5231884281718693
40.0;E3;0.5;3.7572410111754895
40.0;E3;0.6;4.008399371200371
40.0;E4;0.35;4.046610186881554
40.0;E4;0.5;4.774660599060979
40.0;E4;0.6;4.946684525411996
40.0;E5;0.35;6.159633865071072
40.0;E5;0.5;6.188835820895522
40.0;E5;0.6;6.188835820895522
41.0;E1;0.35;3.344270807492953
41.0;E1;0.5;3.7357414247199054
41.0;E1;0.6;4.064988231479953
41.0;E2;0.35;4.483974826262272
41.0;E2;0.5;4.7023809523809526
41.0;E2;0.6;5.260297768132834
41.0;E3;0.35;3.5375552762055835
41.0;E3;0.5;3.547004149377593
41.0;E3;0.6;3.551916897506925
41.0;E4;0.35;3.5752982706969125
41.0;E4;0.5;3.5752982706969125
41.0;E4;0.6;3.5752982706969125
42.0;E1;0.35;3.5623304260836064
42.0;E1;0.5;3.695142857142857
42.0;E1;0.6;3.8649326134256334
42.0;E2;0.35;3.5218768042725173
42.0;E2;0.5;3.896668088509148
42.0;E2;0.6;4.402451958958423
42.0;E3;0.35;3.925753618788315
42.0;E3;0.5;4.281539312986181
42.0;E3;0.6;4.5187297757847595
42.0;E4;0.35;6.027397260273973
42.0;E4;0.5;6.027397260273973
42.0;E4;0.6;6.027397260273973
43.0;E1;0.35;3.5904543410158016
43.0;E1;0.5;3.84887459807074
43.0;E1;0.6;4.101983134887528
43.0;E2;0.35;3.7811034573572226
43.0;E2;0.5;3.925154269163704
43.0;E2;0.6;4.056863913144427
43.0;E3;0.35;3.509680488875262
43.0;E3;0.5;3.664167455594716
43.0;E3;0.6;3.698895309236664
43.0;E5;0.35;6.289891361897238
43.0;E5;0.5;6.289891361897238
43.0;E5;0.6;6.289891361897238
44.0;E1;0.35;3.410928096512696
44.0;E1;0.5;3.5802238741486496
44.0;E1;0.6;3.9039408970393286
44.0;E2;0.35;3.9705882352941178
44.0;E2;0.5;4.7368421052631575
44.0;E2;0.6;5.070422535211268
